Graph,n,m,diam,weighted?,alpha,implementation,k,b,|E^k|,#constraints,#nonzeros,IP build time,IP solve time,LB,UB,#B&B nodes,#callbacks,callback time,#lazy cuts,solve status #,heuristic time,heuristic obj,total time
karate,34,78,5,N,n/a,Recursive,3,5,480,4434,12954,0.04,0.12,41,41,0,n/a,n/a,n/a,2,0.00,41,0.16
dolphins,62,159,8,N,n/a,Recursive,3,5,1107,10823,32167,0.07,5.25,662,662,11,n/a,n/a,n/a,2,0.01,678,5.35
lesmis,77,254,5,N,n/a,Recursive,3,5,2500,26104,79421,0.12,0.51,517,517,0,n/a,n/a,n/a,2,0.01,535,0.64
LindenStrasse,232,303,13,N,n/a,Recursive,3,5,3251,23780,68369,0.20,0.49,1810,1810,0,n/a,n/a,n/a,2,0.07,1815,0.78
polbooks,105,441,7,N,n/a,Recursive,3,5,3510,50318,156076,0.24,15.56,2555,2555,15,n/a,n/a,n/a,2,0.04,2673,15.86
adjnoun,112,425,5,N,n/a,Recursive,3,5,5634,88057,277752,0.38,2.39,3719,3719,0,n/a,n/a,n/a,2,0.04,3719,2.83
football,115,613,4,N,n/a,Recursive,3,5,6247,99474,307790,0.42,256.88,5362,5362,79,n/a,n/a,n/a,2,0.06,5362,257.38
netscience,1589,2742,1589,N,n/a,Recursive,3,5,13087,134050,396400,6.29,12.14,8390,8390,0,n/a,n/a,n/a,2,0.35,8898,19.07
jazz,198,2742,6,N,n/a,Recursive,3,5,18461,736927,2440815,3.34,3600.28,15732,16185,0,n/a,n/a,n/a,9,0.28,16185,3604.03
SmallWorld,233,994,4,N,n/a,Recursive,3,5,25721,408402,1295985,1.88,21.59,6964,6964,0,n/a,n/a,n/a,2,0.13,6964,23.68
Erdos971,429,1312,11,N,n/a,Recursive,3,5,34086,434023,1336028,2.32,18.45,25737,25737,0,n/a,n/a,n/a,2,0.49,25737,21.35
S.Cerevisae,1458,1948,19,N,n/a,Recursive,3,5,39091,302601,875941,6.41,16.07,25190,25190,0,n/a,n/a,n/a,2,3.05,25190,25.86
USAir,332,2126,6,N,n/a,Recursive,3,5,46573,961748,3130970,4.25,50.93,29486,29486,0,n/a,n/a,n/a,2,0.28,29486,55.61
power,4941,6594,46,N,n/a,Recursive,3,5,53125,356100,1007591,63.09,69.10,50410,50410,0,n/a,n/a,n/a,2,40.02,52456,195.05
H.Pylori,706,1392,9,N,n/a,Recursive,3,5,62028,579281,1720908,3.98,95.63,37626,37626,0,n/a,n/a,n/a,2,1.02,37626,100.81
Harvard500,500,2043,6,N,n/a,Recursive,3,5,83993,1339839,4171553,6.45,60.23,16448,16448,0,n/a,n/a,n/a,2,0.41,19241,67.30
homer,542,1619,9,N,n/a,Recursive,3,5,91527,1025045,3165835,5.31,406.51,45828,45828,0,n/a,n/a,n/a,2,0.48,45828,412.57
celegans_metabolic,453,2025,7,N,n/a,Recursive,3,5,91531,1454460,4618862,9.46,176.78,44967,44967,0,n/a,n/a,n/a,2,0.62,44967,187.10
email,1133,5451,8,N,n/a,Recursive,3,5,289259,6382736,19824988,31.23,1507.37,263409,263409,0,n/a,n/a,n/a,2,3.57,263409,1543.05
karate,34,78,5,N,n/a,Path_like,3,5,480,2305,7549,0.03,0.06,41,41,0,n/a,n/a,n/a,2,0.00,41,0.09
dolphins,62,159,8,N,n/a,Path_like,3,5,1107,5793,19378,0.05,3.11,662,662,19,n/a,n/a,n/a,2,0.01,678,3.18
lesmis,77,254,5,N,n/a,Path_like,3,5,2500,13319,44775,0.07,0.34,517,517,0,n/a,n/a,n/a,2,0.01,535,0.45
LindenStrasse,232,303,13,N,n/a,Path_like,3,5,3251,7389,24519,0.09,0.22,1810,1810,0,n/a,n/a,n/a,2,0.09,1815,0.45
polbooks,105,441,7,N,n/a,Path_like,3,5,3510,33187,112232,0.18,8.15,2555,2555,13,n/a,n/a,n/a,2,0.04,2673,8.41
adjnoun,112,425,5,N,n/a,Path_like,3,5,5634,66793,228457,0.36,2.55,3719,3719,0,n/a,n/a,n/a,2,0.04,3719,3.04
football,115,613,4,N,n/a,Path_like,3,5,6247,51589,175910,0.32,275.68,5362,5362,71,n/a,n/a,n/a,2,0.04,5362,276.13
netscience,1589,2742,1589,N,n/a,Path_like,3,5,13087,35033,113725,0.31,1.16,8390,8390,0,n/a,n/a,n/a,2,0.36,8898,2.00
jazz,198,2742,6,N,n/a,Path_like,3,5,18461,1348461,4664809,7.99,3601.05,16074,16136,3,n/a,n/a,n/a,9,0.28,16185,3611.16
SmallWorld,233,994,4,N,n/a,Path_like,3,5,25721,247719,839478,1.47,7.52,6964,6964,0,n/a,n/a,n/a,2,0.10,6964,9.56
Erdos971,429,1312,11,N,n/a,Path_like,3,5,34086,257489,886010,1.97,11.65,25737,25737,0,n/a,n/a,n/a,2,0.43,25737,14.96
S.Cerevisae,1458,1948,19,N,n/a,Path_like,3,5,39091,88349,295462,2.43,2.98,25190,25190,0,n/a,n/a,n/a,2,2.83,25190,10.31
USAir,332,2126,6,N,n/a,Path_like,3,5,46573,942019,3237497,6.15,44.45,29486,29486,0,n/a,n/a,n/a,2,0.28,29486,52.58
power,4941,6594,46,N,n/a,Path_like,3,5,53125,122513,403565,11.83,3.12,50410,50410,0,n/a,n/a,n/a,2,39.38,52456,64.19
H.Pylori,706,1392,9,N,n/a,Path_like,3,5,62028,219555,751647,2.98,11.26,37626,37626,0,n/a,n/a,n/a,2,1.02,37626,17.18
Harvard500,500,2043,6,N,n/a,Path_like,3,5,83993,447463,1521714,4.28,19.51,16448,16448,0,n/a,n/a,n/a,2,0.42,19241,26.33
homer,542,1619,9,N,n/a,Path_like,3,5,91527,607895,2096846,5.23,361.31,45828,45828,0,n/a,n/a,n/a,2,0.49,45828,369.77
celegans_metabolic,453,2025,7,N,n/a,Path_like,3,5,91531,1133121,3893002,7.75,43.79,44967,44967,0,n/a,n/a,n/a,2,0.61,44967,55.10
email,1133,5451,8,N,n/a,Path_like,3,5,289259,2383679,8252718,29.44,150.65,263409,263409,0,n/a,n/a,n/a,2,3.31,263409,202.01
hep-th,8361,15751,8361,N,n/a,Path_like,3,5,376431,1211005,4134196,109.30,93.55,345320,345320,0,n/a,n/a,n/a,2,76.20,345320,378.45
PGPgiantcompo,10680,24316,24,N,n/a,Path_like,3,5,1145492,6030891,20799730,590.50,638.26,857035,857035,0,n/a,n/a,n/a,2,238.29,860319,2018.44
cond-mat,16726,47594,16726,N,n/a,Path_like,3,5,1761969,6920423,23779488,1331.05,3602.16,-1E+100,1637445,0,n/a,n/a,n/a,9,486.24,1637445,6703.57
karate,34,78,5,N,n/a,Thin_I,3,5,480,1075,5011,0.02,0.08,41,41,0,3,0.00,97,2,0.00,41,0.11
dolphins,62,159,8,N,n/a,Thin_I,3,5,1107,2738,13109,0.03,0.67,662,662,33,6,0.00,306,2,0.01,678,0.72
lesmis,77,254,5,N,n/a,Thin_I,3,5,2500,6406,30695,0.05,0.20,517,517,0,4,0.00,417,2,0.01,535,0.26
LindenStrasse,232,303,13,N,n/a,Thin_I,3,5,3251,3392,16222,0.04,0.25,1810,1810,0,5,0.01,557,2,0.08,1815,0.38
polbooks,105,441,7,N,n/a,Thin_I,3,5,3510,16153,77723,0.13,3.62,2555,2555,15,7,0.04,860,2,0.03,2673,3.79
adjnoun,112,425,5,N,n/a,Thin_I,3,5,5634,32972,160390,0.17,1.42,3719,3719,0,3,0.01,701,2,0.05,3719,1.65
football,115,613,4,N,n/a,Thin_I,3,5,6247,25182,122483,0.18,141.27,5362,5362,218,4,1.15,1224,2,0.06,5362,141.52
netscience,1589,2742,1589,N,n/a,Thin_I,3,5,13087,14775,70467,0.13,2.21,8390,8390,0,4,0.13,5369,2,0.36,8898,2.72
jazz,198,2742,6,N,n/a,Thin_I,3,5,18461,671489,3308123,3.49,1847.47,16136,16136,11,4,36.38,5484,2,0.20,16185,1851.30
SmallWorld,233,994,4,N,n/a,Thin_I,3,5,25721,122866,588778,0.82,6.98,6964,6964,0,3,0.02,1587,2,0.10,6964,7.95
Erdos971,429,1312,11,N,n/a,Thin_I,3,5,34086,127433,624586,0.90,20.91,25737,25737,3,3,0.07,2476,2,0.42,25737,22.28
S.Cerevisae,1458,1948,19,N,n/a,Thin_I,3,5,39091,42227,201270,0.65,6.29,25190,25190,0,3,0.25,3715,2,2.85,25190,9.89
USAir,332,2126,6,N,n/a,Thin_I,3,5,46573,468884,2289101,3.01,37.55,29486,29486,0,3,0.05,3812,2,0.28,29486,40.96
power,4941,6594,46,N,n/a,Thin_I,3,5,53125,54663,261271,4.28,15.32,50410,50410,0,8,8.34,13138,2,38.84,52456,59.43
H.Pylori,706,1392,9,N,n/a,Thin_I,3,5,62028,108386,527917,0.73,22.52,37626,37626,0,3,0.09,2557,2,0.93,37626,24.25
Harvard500,500,2043,6,N,n/a,Thin_I,3,5,83993,221689,1068123,1.55,16.94,16448,16448,0,4,0.09,3619,2,0.42,19241,18.99
homer,542,1619,9,N,n/a,Thin_I,3,5,91527,302329,1484095,1.80,60.35,45828,45828,4,4,0.14,2955,2,0.49,45828,62.75
celegans_metabolic,453,2025,7,N,n/a,Thin_I,3,5,91531,564536,2753807,3.11,37.19,44967,44967,0,3,0.07,3423,2,0.61,44967,41.06
email,1133,5451,8,N,n/a,Thin_I,3,5,289259,1186389,5852687,7.37,176.56,263409,263409,0,3,2.58,10653,2,3.29,263409,187.57
hep-th,8361,15751,8361,N,n/a,Thin_I,3,5,376431,589752,2875939,14.32,163.45,345320,345320,0,3,14.23,31293,2,76.14,345320,255.79
PGPgiantcompo,10680,24316,24,N,n/a,Thin_I,3,5,1145492,2991130,14695892,57.61,384.22,857035,857035,0,4,61.31,47919,2,238.34,860319,686.43
cond-mat,16726,47594,16726,N,n/a,Thin_I,3,5,1761969,3412618,16716284,105.82,3103.70,1633299,1633299,0,4,160.97,94761,2,484.61,1637445,3705.23
karate,34,78,5,N,n/a,Thin_F,3,5,480,1075,5011,0.03,0.03,41,41,0,3,0.00,97,2,0.00,41,0.07
dolphins,62,159,8,N,n/a,Thin_F,3,5,1107,2738,13109,0.03,0.73,662,662,19,19,0.04,345,2,0.01,678,0.78
lesmis,77,254,5,N,n/a,Thin_F,3,5,2500,6406,30695,0.04,0.17,517,517,0,4,0.00,417,2,0.01,535,0.22
LindenStrasse,232,303,13,N,n/a,Thin_F,3,5,3251,3392,16222,0.03,0.26,1810,1810,0,5,0.01,557,2,0.07,1815,0.36
polbooks,105,441,7,N,n/a,Thin_F,3,5,3510,16153,77723,0.10,3.05,2555,2555,13,18,0.08,1282,2,0.04,2673,3.21
adjnoun,112,425,5,N,n/a,Thin_F,3,5,5634,32972,160390,0.16,1.12,3719,3719,0,4,0.01,716,2,0.05,3719,1.34
football,115,613,4,N,n/a,Thin_F,3,5,6247,25182,122483,0.14,97.89,5362,5362,85,49,0.43,1240,2,0.04,5362,98.08
netscience,1589,2742,1589,N,n/a,Thin_F,3,5,13087,14775,70467,0.14,2.08,8390,8390,0,4,0.08,5369,2,0.37,8898,2.60
jazz,198,2742,6,N,n/a,Thin_F,3,5,18461,671489,3308123,3.51,1911.46,16136,16136,22,25,0.71,8226,2,0.21,16185,1915.34
SmallWorld,233,994,4,N,n/a,Thin_F,3,5,25721,122866,588778,0.83,7.13,6964,6964,0,3,0.02,1587,2,0.10,6964,8.10
Erdos971,429,1312,11,N,n/a,Thin_F,3,5,34086,127433,624586,0.74,14.92,25737,25737,0,4,0.13,2547,2,0.44,25737,16.14
S.Cerevisae,1458,1948,19,N,n/a,Thin_F,3,5,39091,42227,201270,0.56,6.14,25190,25190,0,3,0.24,3715,2,2.83,25190,9.62
USAir,332,2126,6,N,n/a,Thin_F,3,5,46573,468884,2289101,3.01,37.38,29486,29486,0,3,0.05,3812,2,0.28,29486,40.78
power,4941,6594,46,N,n/a,Thin_F,3,5,53125,54663,261271,4.40,33.39,50410,50410,0,10,26.62,13138,2,39.12,52456,77.79
H.Pylori,706,1392,9,N,n/a,Thin_F,3,5,62028,108386,527917,0.73,18.07,37626,37626,0,3,0.10,2557,2,0.93,37626,19.81
Harvard500,500,2043,6,N,n/a,Thin_F,3,5,83993,221689,1068123,1.55,17.04,16448,16448,0,4,0.08,3619,2,0.41,19241,19.09
homer,542,1619,9,N,n/a,Thin_F,3,5,91527,302329,1484095,1.79,64.65,45828,45828,4,11,1.15,4298,2,0.48,45828,67.02
celegans_metabolic,453,2025,7,N,n/a,Thin_F,3,5,91531,564536,2753807,3.02,37.18,44967,44967,0,3,0.07,3423,2,0.62,44967,40.96
email,1133,5451,8,N,n/a,Thin_F,3,5,289259,1186389,5852687,7.37,181.13,263409,263409,0,3,2.64,10653,2,3.30,263409,192.16
hep-th,8361,15751,8361,N,n/a,Thin_F,3,5,376431,589752,2875939,14.41,169.36,345320,345320,0,3,14.32,31293,2,75.80,345320,261.45
PGPgiantcompo,10680,24316,24,N,n/a,Thin_F,3,5,1145492,2991130,14695892,57.92,420.04,857035,857035,0,4,60.78,47919,2,238.52,860319,722.59
cond-mat,16726,47594,16726,N,n/a,Thin_F,3,5,1761969,3412618,16716284,104.83,3097.70,1633299,1633299,0,4,160.85,94761,2,487.63,1637445,3701.27
karate,34,78,5,N,n/a,Thin,3,5,480,1153,5245,0.02,0.03,41,41,0,n/a,n/a,n/a,2,0.00,41,0.06
dolphins,62,159,8,N,n/a,Thin,3,5,1107,2897,13586,0.04,0.70,662,662,27,n/a,n/a,n/a,2,0.02,678,0.76
lesmis,77,254,5,N,n/a,Thin,3,5,2500,6660,31457,0.04,0.14,517,517,0,n/a,n/a,n/a,2,0.01,535,0.19
LindenStrasse,232,303,13,N,n/a,Thin,3,5,3251,3695,17131,0.05,0.14,1810,1810,0,n/a,n/a,n/a,2,0.10,1815,0.30
polbooks,105,441,7,N,n/a,Thin,3,5,3510,16594,79046,0.09,2.48,2555,2555,13,n/a,n/a,n/a,2,0.03,2673,2.61
adjnoun,112,425,5,N,n/a,Thin,3,5,5634,33397,161665,0.17,0.83,3719,3719,0,n/a,n/a,n/a,2,0.04,3719,1.05
football,115,613,4,N,n/a,Thin,3,5,6247,25795,124322,0.13,87.20,5362,5362,77,n/a,n/a,n/a,2,0.04,5362,87.39
netscience,1589,2742,1589,N,n/a,Thin,3,5,13087,17517,78693,0.14,0.77,8390,8390,0,n/a,n/a,n/a,2,0.35,8898,1.29
jazz,198,2742,6,N,n/a,Thin,3,5,18461,674231,3316349,3.47,1076.07,16136,16136,9,n/a,n/a,n/a,2,0.20,16185,1079.89
SmallWorld,233,994,4,N,n/a,Thin,3,5,25721,123860,591760,0.63,5.20,6964,6964,0,n/a,n/a,n/a,2,0.10,6964,5.96
Erdos971,429,1312,11,N,n/a,Thin,3,5,34086,128745,628522,0.73,9.34,25737,25737,0,n/a,n/a,n/a,2,0.43,25737,10.55
S.Cerevisae,1458,1948,19,N,n/a,Thin,3,5,39091,44175,207114,0.57,2.19,25190,25190,0,n/a,n/a,n/a,2,2.91,25190,5.76
USAir,332,2126,6,N,n/a,Thin,3,5,46573,471010,2295479,3.05,24.09,29486,29486,0,n/a,n/a,n/a,2,0.29,29486,27.54
power,4941,6594,46,N,n/a,Thin,3,5,53125,61257,281053,4.28,2.19,50410,50410,0,n/a,n/a,n/a,2,39.04,52456,46.39
H.Pylori,706,1392,9,N,n/a,Thin,3,5,62028,109778,532093,0.73,7.30,37626,37626,0,n/a,n/a,n/a,2,0.99,37626,9.09
Harvard500,500,2043,6,N,n/a,Thin,3,5,83993,223732,1074252,1.62,13.98,16448,16448,0,n/a,n/a,n/a,2,0.42,19241,16.09
